OTU ID	P17003_1121	P17003_1122	P17003_1123	P17003_1124	P17003_1125	P17003_1131	P17003_1132	P17003_1133	P17003_1134	P17003_1135	P17003_1137	P17003_1138	P17003_1139	P17003_1140	P17003_1141	P17003_1147	P17003_1148	P17003_1149	P17003_1150	P17003_1151	P17003_1157	P17003_1158	P17003_1159	P17003_1160	P17003_1166	P17003_1167	P17003_1168	P17003_1169	P17003_1170	P17003_1171	P17003_1172	P17003_1173	P17003_1174	P17003_1175	P17003_1181	P17003_1182	P17003_1183	P17003_1184	P17003_1185	P17003_1191	P17003_1192	P17003_1193	P17003_1194	P17003_1195	P17003_1197	P17003_1198	P17003_1199	P17003_1200	P17003_1201	P17003_1207	P17003_1208	P17003_1209	P17003_1210	P17003_1211	P17003_1217	P17003_1218	P17003_1219	P17003_1225	P17003_1226	P17003_1227	P17003_1228	P17003_1229	P17003_1230	P17003_1231	P17003_1232	P17003_1233	P17003_1234	P17003_1240
43b6a1159a607517ff2874f84504a17f	0.0	0.0	0.0	0.0	0.0	0.0	2691.0	747.0	866.0	0.0	0.0	3166.0	0.0	873.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6076.0	3031.0	10378.0	5090.0	0.0	0.0	0.0	0.0	0.0	0.0	2209.0	1040.0	1863.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12039.0	7406.0	3248.0	7340.0	1179.0	0.0
2e6c1539d95fdfaca94780b391f1ecf7	0.0	0.0	0.0	0.0	0.0	0.0	2724.0	715.0	846.0	0.0	0.0	2970.0	0.0	804.0	593.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5364.0	2399.0	9581.0	4772.0	0.0	0.0	0.0	0.0	0.0	0.0	2122.0	1071.0	1091.0	0.0	0.0	0.0	2581.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11277.0	7022.0	2901.0	7903.0	560.0	0.0
e0fabf3a280f1a0b557dcbf0212529ed	0.0	0.0	0.0	0.0	0.0	579.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1582.0	28940.0	645.0	16361.0	4187.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	513.0	0.0	576.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2167.0	0.0	5440.0	30464.0	13774.0	0.0	0.0	0.0	0.0	0.0	0.0
0cbe5f7e8081ed7ef2608b05a134a26e	0.0	0.0	0.0	0.0	0.0	594.0	384.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1591.0	28551.0	0.0	16188.0	4197.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	600.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2138.0	210.0	5261.0	31271.0	14166.0	0.0	0.0	0.0	0.0	0.0	0.0
a41d01f993265755665911f4a15a7ab3	0.0	0.0	0.0	0.0	0.0	1082.0	571.0	0.0	519.0	425.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12448.0	8161.0	9652.0	21889.0	7403.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	425.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	325.0	198.0	0.0	0.0	0.0	0.0	0.0	0.0	590.0	432.0	0.0	17768.0	0.0	0.0	0.0	0.0	0.0	0.0
9eacce5b800eae573721c6e96d5106e9	0.0	0.0	0.0	0.0	0.0	0.0	1747.0	464.0	528.0	0.0	0.0	2103.0	0.0	532.0	230.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3468.0	0.0	6438.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1370.0	729.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7461.0	4698.0	1896.0	0.0	0.0	0.0
33bffa31546ec0e46567085e7654276f	0.0	0.0	0.0	0.0	0.0	0.0	1671.0	484.0	564.0	0.0	0.0	2031.0	0.0	522.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1586.0	6231.0	3076.0	0.0	0.0	0.0	0.0	0.0	0.0	1401.0	712.0	718.0	0.0	0.0	0.0	1668.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7407.0	4666.0	1960.0	4924.0	381.0	0.0
390a7e65d47f5b135dd7b03662494387	0.0	0.0	0.0	0.0	0.0	1043.0	538.0	440.0	0.0	386.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12251.0	8004.0	9374.0	22164.0	7246.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	313.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	570.0	0.0	0.0	17147.0	0.0	0.0	0.0	0.0	0.0	0.0
4d2253f24814c2d26ca91018e7a87e91	0.0	0.0	0.0	0.0	0.0	463.0	422.0	765.0	0.0	600.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4831.0	5880.0	2818.0	2925.0	0.0	0.0	0.0	0.0	0.0	153.0	94.0	0.0	304.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	850.0	0.0	841.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	0.0	0.0	7030.0	10215.0	2330.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
be8fc5e7fb5e60d5bc5d9f941704f92d	0.0	0.0	0.0	0.0	0.0	490.0	693.0	0.0	936.0	567.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5070.0	5606.0	2638.0	3252.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	511.0	720.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6591.0	9905.0	1938.0	0.0	0.0	0.0	0.0	0.0	228.0	0.0	0.0	0.0	0.0	0.0
ffc526bf84fea72f1acc7a4163a95cf2	0.0	0.0	0.0	4612.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	968.0	0.0	0.0	1096.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	524.0	660.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0e06ea0a654d835e255047cf36e5b032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1182.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1988.0	1962.0	846.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1446.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1953.0	1875.0	0.0	2724.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bb0093262f8c9ba3eaa0344cfba462af	0.0	0.0	0.0	0.0	0.0	856.0	1884.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1714.0	2056.0	0.0	1065.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1225.0	2211.0	1563.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
