Feature ID	Kingdom	Phylum	Class	Order	Family	Genus	Specie
7934f35e434c66671eaa8cb8a1176ebe	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Myrmecridiales	f__unidentified	g__unidentified	s__unidentified
cf8f62b0f49de65735aee16a8fc80536	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
5bac8da1ee8b33a1df10fc7152682143	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
809bf6076481f2415f853c3dc13f449d	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
2a672bbe795433ade534a83dd44f5790	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Microascales	f__Microascaceae	g__Scedosporium	s__Scedosporium_minutisporum
9c6aa2fdef494c049793a4979b3001b8	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Onygenales	f__Ajellomycetaceae	g__unidentified	s__unidentified
5316d64c9568ef84bddc70941e2c5d9f	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
9745ab57fe392fdcc4fb21955fdf4687	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
f951469bf2be331f4d854dbc3831fa4f	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
55828e59c378e7fd9d3a215892361d49	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
c0bda1852baea4566fd8725f09b1adc2	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	s__unidentified
f77aaa1409c9553722a9acd3f0898937	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__NA	f__NA	g__NA	s__NA
a53694a716cd7c5ca14a868707c5750e	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__NA	g__NA	s__NA
e714c1342b595289074a00bdb664b084	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
c8b07699d74ed00364266de7a2d944d0	k__Fungi	p__Basidiomycota	c__Geminibasidiomycetes	o__Geminibasidiales	f__Geminibasidiaceae	g__Geminibasidium	s__unidentified
e65c743c8d57b55ded0baf4d5f10ff8c	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Onygenales	f__Onygenaceae	g__Myriodontium	s__Myriodontium_keratinophilum
5fd6440572b6a51c14a46c21583a2205	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__NA	g__NA	s__NA
8e9061bb56e7b0790426a331b27b6a09	k__Fungi	p__Ascomycota	c__NA	o__NA	f__NA	g__NA	s__NA
fde91a4efd2f74540cfefd3829ef386b	k__Fungi	p__Ascomycota	c__NA	o__NA	f__NA	g__NA	s__NA
27a2c20d02c60fed7bf1cf355a91c9ab	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
e921213cb929a005111024ca77cf52ae	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	g__Trichoderma	s__NA
645c06ff65335ba771c96f4269c243f0	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
aba1f35aee98ebaeff9429bad156a93b	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Claroideoglomeraceae	g__Claroideoglomus	s__unidentified
6ceed21fad642d3a3faefba80a330ae1	k__Fungi	p__Glomeromycota	c__Archaeosporomycetes	o__Archaeosporales	f__unidentified	g__unidentified	s__unidentified
4c50c1663194431132d0c32cf014bc43	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Cyphellophoraceae	g__Cyphellophora	s__unidentified
c762a32ca6baff74c4f584aeac715c40	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	g__Trichoderma	s__Trichoderma_harzianum
3f3da6cdd74408c18bbcc9343bdcedea	k__Fungi	p__Ascomycota	c__NA	o__NA	f__NA	g__NA	s__NA
8a55a5546d4e236a288cab98e4870d8d	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
4f6f3ee64de1bbc60edd01accdd4ff4d	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Lophiostomataceae	g__NA	s__NA
fcaccfd5c6b8ea508ed53416d48301d9	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Rhynchogastremataceae	g__Papiliotrema	s__Papiliotrema_laurentii
f2156e5507c29895ca1e6868f6e47008	k__Fungi	p__Kickxellomycota	c__GS19	o__GS19	f__unidentified	g__unidentified	s__unidentified
591d101824e55c178921a4cbd2730fb0	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
6cf1a4b49b489a4cddd8998e6a1d9a10	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
60f80a07145c383fad65d1fbb305a2c2	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__NA	s__NA
4da5d2d4d8b855e047672023891f8702	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Geastrales	f__Geastraceae	g__Geastrum	s__Geastrum_triplex
ddc24fca2ca0a34d5ad6bf3e899d23fb	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
f7640d4876ff0fd3a32361dd4652cc40	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
aec321e8dfd3c173088b5af60c77551e	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__Mortierella_gamsii
c494d086c31dd2736d13a894323137a1	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
f5d0e2b1f171e36f7f5f3ff15da6b512	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Exophiala	s__Exophiala_equina
ecc0954bb2952662c68aeb90a4e7cc5d	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	f__Schizoporaceae	g__Hyphodontia	s__Hyphodontia_arguta
af5726915e642829f1e1596ba654ce11	k__Fungi	p__Basidiomycota	c__NA	o__NA	f__NA	g__NA	s__NA
56ef8e6fd636ec7c41f84991cada1703	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
3de78ab6513118b0ddaea3251495b7ae	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
73871545645e7ce020392da1f3fe2302	k__Fungi	p__Ascomycota	c__NA	o__NA	f__NA	g__NA	s__NA
4950c5d4f1431769a93aa1a733f73031	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
1ea88e7b09de8be400d79df8d0ff3210	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
6714007991b51a5fe8f2defe3783bf7f	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Onygenales	f__Onygenales_fam_Incertae_sedis	g__unidentified	s__unidentified
4247f6dc124f51ff58be44fa0edfa05b	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	o__Cystobasidiales	f__Cystobasidiaceae	g__Cystobasidium	s__Cystobasidium_pallidum
f77561b00a1d78098cebf7e81ee1bd93	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
7de4bb834e0ebdd4b0671679057703c9	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Rhynchogastremataceae	g__Papiliotrema	s__Papiliotrema_laurentii
2389b8927173f8175d19379d2fff1196	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
7c7051957921d145cb62aeeb36474cd0	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Thelonectria	s__Thelonectria_veuillotiana
cbd6aacc175d0c6488ba455041d76a04	k__Fungi	p__Olpidiomycota	c__Olpidiomycetes	o__Olpidiales	f__Olpidiaceae	g__Olpidium	s__Olpidium_brassicae
6603b6d7b0096783a9c4bcc24965ce7f	k__Fungi	p__Ascomycota	c__NA	o__NA	f__NA	g__NA	s__NA
81f6d46842b0fd86a867e1cc26ef5766	k__Fungi	p__Ascomycota	c__NA	o__NA	f__NA	g__NA	s__NA
915a30c550f92633719e346b326b3528	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__Mortierella_horticola
